Abbrev	Full text	Occurences
DS-BLADDERCA-MDS	Disease-Specific (Bladder Cancer, MDS)	1
DS-HM-GSO	Disease-Specific (Hematological Malignancies, GSO)	1
DS-MDS	Disease-Specific (Cancer, MDS)	2
DS-HNSC-PUB-NPU	Disease-Specific (Head and neck squamous cell carcinoma, PUB, NPU)	1
HMB-PUB-GSO	Health/Medical/Biomedical (PUB, GSO)	2
HMB-IRB-PUB-COL-NPU	Health/Medical/Biomedical (IRB, PUB, COL, NPU)	2
DS-DOH-MDS	Disease-Specific (Dental and Oral Health, MDS)	1
DS-DOHC-MDS	Disease-Specific (Dental and Oral Health, Cardiac Health, MDS)	1
DS-CA-COL	Disease-Specific (Cancer, COL)	2
HMB-IRB-COL	Health/Medical/Biomedical (IRB, COL)	11
EA-IRB-PUB	Exchange Area (IRB, PUB)	2
DS-ASTHMA-IRB-COL	Disease-Specific (Asthma, IRB, COL)	6
DS-LD-IRB-NPU	Disease-Specific (Lung Disease, IRB, NPU)	1
DS-ILD-IRB-NPU	Disease-Specific (Interstitial Lung Disease, IRB, NPU)	1
DS-PFIB-IRB-NPU	Disease-Specific (Pulmonary Fibrosis, IRB, NPU)	1
DS-PUL-ILD-IRB-NPU	Disease-Specific (Pulmonary, Interstitial Lung Disease, IRB, NPU)	1
DS-SCD-IRB-PUB-COL-MDS-RD	Disease-Specific (Sickle Cell Disease, IRB, PUB, COL, MDS, RD)	1
EA-IRB-PUB-COL-MDS-RD	Exchange Area (IRB, PUB, COL, MDS, RD)	1
DS-SLE-IRB-PUB-NPU-MDS	Disease-Specific (Systemic lupus erythematosus, IRB, PUB, NPU, MDS)	1
DS-SLE-PUB	Disease-Specific (Systemic lupus erythematosus, PUB)	1
DS-SLE-GSO	Disease-Specific (Systemic lupus erythematosus, GSO)	1
DS-BLADDERCA-PUB-MDS	Disease-Specific (Bladder Cancer, PUB, MDS)	2
GRU-IRB-PUB-NPU	General Research Use (IRB, PUB, NPU)	9
DS-HED-NPU-GSO	Disease-Specific (Hereditary Eye Diseases, NPU, GSO)	1
EA-GSO	Exchange Area (GSO)	2
DS-IBD-IRB-MDS-RD	Disease-Specific (Inflammatory Bowel Disease, IRB, MDS, RD)	1
DS-MM-MDS	Disease-Specific (Multiple Myeloma, MDS)	1
DS-CA-IRB-GSO	Disease-Specific (Cancer, IRB, GSO)	1
DS-GID	Disease-Specific (Gastrointestinal Diseases)	1
DS-BT-IRB	Disease-Specific (Brain Tumors, IRB)	1
DS-SUD-IRB-NPU-MDS-GSO	Disease-Specific (Substance Use Disorders, IRB, NPU, MDS, GSO)	1
DS-ADX-IRB-GSO-RD	Disease-Specific (Addictive Disorders, IRB, GSO, RD)	1
DS-BDIS-IRB-PUB	Disease-Specific (Brain Disorders, IRB, PUB)	1
DS-BE	Disease-Specific (Barrett's Esophagus)	1
DS-HMP	Disease-Specific (Human Microbiome Research)	1
DS-SZBPREL-IRB-RD	Disease-Specific (Schizophrenia, Bipolar Disorder, and genetically related illnesses, IRB, RD)	1
DS-ASTHMA-GSO	Disease-Specific (Asthma, GSO)	1
DS-NDR-IRB-NPU	Disease-Specific (Neurological Disorders Research, IRB, NPU)	1
DS-PDND-PUB-MDS-GSO	Disease-Specific (Parkinson's disease or other neurodegenerative disorders, PUB, MDS, GSO)	1
DS-PDND-MDS	Disease-Specific (Parkinson's disease or other neurodegenerative disorders, MDS)	1
DS-PDND-PUB	Disease-Specific (Parkinson's disease or other neurodegenerative disorders, PUB)	1
DS-PDND-PUB-MDS	Disease-Specific (Parkinson's disease or other neurodegenerative disorders, PUB, MDS)	1
DS-PD	Disease-Specific (Parkinson's Disease)	2
DS-KRD-IRB-PUB-COL-NPU-MDS	Disease-Specific (Kidney and Related Disorders, IRB, PUB, COL, NPU, MDS)	1
DS-KTO-IRB-PUB-COL-NPU-MDS	Disease-Specific (Kidney Transplant Outcomes, IRB, PUB, COL, NPU, MDS)	1
DS-G-PUB-GSO	Disease-Specific (Glaucoma, PUB, GSO)	1
DS-OBDR-MDS-RD	Disease-Specific (Orofacial birth defects and related phenotypes, MDS, RD)	2
DS-AONDD-IRB	Disease-Specific (Autism or other Neurodevelopmental Disease, IRB)	1
DS-SCOID-IRB	Disease-Specific (Scoliosis, idiopathic, IRB)	1
DS-IMD-IRB	Disease-Specific (Inherited Musculoskeletal Disorders, IRB)	1
DS-CI	Disease-Specific (cardiac inflammation)	2
DS-MSC-MDS	Disease-Specific (Melanoma and Skin Cancer Research, MDS)	2
DS-SCD-IRB-PUB-COL	Disease-Specific (Sickle Cell Disease, IRB, PUB, COL)	1
EA-IRB-PUB-COL	Exchange Area (IRB, PUB, COL)	1
HMB-IRB-COL-MDS	Health/Medical/Biomedical (IRB, COL, MDS)	1
DS-GC	Disease-Specific (Gynecological Cancer)	1
HMB-COL-NPU	Health/Medical/Biomedical (COL, NPU)	1
DS-PSO-RD-NPU	Disease-Specific (Psoriasis and related diseases, NPU)	1
DS-ECA-COL-NPU-GSO	Disease-Specific (Endometrial Cancer, COL, NPU, GSO)	1
DS-MRUH	Disease-Specific (Male Reproductive and Urologic Health)	1
DS-PTL	Disease-Specific (Pre-Term Labor)	1
DS-MHIV	Disease-Specific (Markers of HIV Infection)	1
DS-INF	Disease-Specific (Infertility and Infertility Treatments)	1
DS-E-C-NPU	Disease-Specific (Esophageal Cancer, NPU)	1
DS-BPH-IRB	Disease-Specific (Benign prostatic hyperplasia, IRB)	1
DS-BRCA-GSO	Disease-Specific (Breast Cancer, GSO)	1
DS-HCTCT-IRB	Disease-Specific (Hematopoietic Cell Transplantation and Cell Therapy, IRB)	2
HMB-IRB-PUB-COL-MDS	Health/Medical/Biomedical (IRB, PUB, COL, MDS)	1
KF	Kidney Function	1
DS-EM-COL	Disease-Specific (Erythromelalgia, COL)	1
DS-AST-COPD	Disease-Specific (Asthma and Chronic Obstructive Pulmonary Disease)	2
DS-MDP	Disease-Specific (Movement Disorders Phenotypes)	1
DS-RCC	Disease-Specific (Kidney Cancer)	2
CADM	Cancer in all age groups, other diseases in adults, and methods	1
DS-ASD-RD-IRB	Disease-Specific (Autism Spectrum Disorder and Related Diseases, IRB)	1
DS-ASD-IRB	Disease-Specific (Autism Spectrum Disorder, IRB)	3
DS-BLADDERCA-GSO	Disease-Specific (Bladder Cancer, GSO)	1
DS-LCCLD-MDS	Disease-Specific (Liver Cancer and Chronic Liver Disease, MDS)	1
DS-HCC-IRB	Disease-Specific (Hepatocellular Carcinoma, IRB)	1
DS-LD-IRB-COL-NPU-GSO	Disease-Specific (Lung Disease, IRB, COL, NPU, GSO)	1
DS-CROHN-IRB-PUB-NPU	Disease-Specific (Crohn's Disease, IRB, PUB, NPU)	1
DS-ADX-PUB-NPU-MDS	Disease-Specific (Addictive Disorders, PUB, NPU, MDS)	1
HMB-IRB-PUB-NPU	Health/Medical/Biomedical (IRB, PUB, NPU)	3
DS-MERCURY	Disease-Specific (Mercury and Other Environmental Exposures)	1
HMB-PUB-COL	Health/Medical/Biomedical (PUB, COL)	1
DS-ALC-IRB-PUB-NPU-MDS-RD	Disease-Specific (Alcoholism, IRB, PUB, NPU, MDS, RD)	1
DS-PACA-IRB-MDS	Disease-Specific (Pancreatic Cancer, IRB, MDS)	1
DS-MINF-IRB-PUB-COL	Disease-Specific (Male Infertility, IRB, PUB, COL)	1
DS-MDS	Disease-Specific (Myelodysplasia)	1
DS-HCT-IRB-COL-GSO-RD	Disease-Specific (Hereditary connective tissue disorders, IRB, COL, GSO, RD)	1
DS-LCCLD-COL	Disease-Specific (Liver Cancer and Chronic Liver Disease, COL)	1
DS-PHACE	Disease-Specific (PHACE Syndrome)	1
DS-CVD-IRB-NPU	Disease-Specific (Cardiovascular Disease, IRB, NPU)	1
NHD	Neuroscience, health and disease	1
DS-CVD-NPU-MDS-GSO-RD	Disease-Specific (Cardiovascular Disease, NPU, MDS, GSO, RD)	1
HGV	Human Genetic Variation Research	1
DS-SUD	Disease-Specific (Substance Use Disorders)	1
DS-ALC-IRB-NPU-RD	Disease-Specific (Alcoholism, IRB, NPU, RD)	1
DS-AGR1-NPU	Disease-Specific (Aging Related 1, NPU)	1
DS-LC-NPU	Disease-Specific (Lung Cancer, NPU)	1
GRU-IRB-COL	General Research Use (IRB, COL)	2
DS-AUT-IRB	Disease-Specific (Autism, IRB)	2
DS-LC-IRB	Disease-Specific (Lung Cancer, IRB)	2
DS-GID-MDS	Disease-Specific (Gastrointestinal Diseases, MDS)	1
DS-NAFLD-IRB-NPU	Disease-Specific (Nonalcoholic Fatty Liver Disease, IRB, NPU)	1
DS-SUD-IRB-NPU	Disease-Specific (Substance Use Disorders, IRB, NPU)	1
DS-ALERG-IRB-PUB-COL-NPU	Disease-Specific (Allergy, IRB, PUB, COL, NPU)	1
LHMB	Limited Health/Medical/Biomedical	1
DS-GICA-MDS	Disease-Specific (Gastric Cancer, MDS)	1
DS-COC-IRB-COL	Disease-Specific (Colon Cancer, IRB, COL)	3
DS-CA-IRB-PUB-NPU-MDS	Disease-Specific (Cancer, IRB, PUB, NPU, MDS)	3
DS-MDBRCA-MDS	Disease-Specific (Mammographic Density and Breast Cancer Risk, MDS)	1
DS-HIST-MDS	Disease-Specific (Histiocytoses, MDS)	1
DS-CAD-IRB	Disease-Specific (Coronary Artery Disease, IRB)	1
DS-AUT	Disease-Specific (Autism)	2
DS-ASD-IRB-GSO	Disease-Specific (Autism Spectrum Disorder, IRB, GSO)	1
OVCA	Ovarian Cancer Only	1
ENDTU-MDS	Endometrial Tumors (MDS)	1
DS-EAC-PUB-GSO	Disease-Specific (Epilepsy and Cognition, PUB, GSO)	1
DS-AMD-NPU	Disease-Specific (Age-Related Macular Degeneration, NPU)	1
DS-PH-IRB	Disease-Specific (Peanut Hypersensitivity, IRB)	1
DS-HCV-IRB-COL-NPU	Disease-Specific (Hepatitis C, IRB, COL, NPU)	1
DS-CC-COL-NPU	Disease-Specific (Colorectal Cancer, COL, NPU)	1
EPIMEDCA-MDS	Epidemiological and Medical Research on Cancer and Methods	1
CHRONIC-MDS	Chronic Diseases (including Cancer) and Methods	1
DS-CC-PUB	Disease-Specific (Colorectal Cancer, PUB)	1
DS-COC-PUB-NPU	Disease-Specific (Colon Cancer, PUB, NPU)	1
CRCSTATS	Colorectal Cancer and Statistical Methods	1
DS-COC-MDS	Disease-Specific (Colon Cancer, MDS)	2
HMB-IRB-NPU-GSO	Health/Medical/Biomedical (IRB, NPU, GSO)	2
DS-PACA-MDS	Disease-Specific (Pancreatic Cancer, MDS)	1
DS-PACA-NPU-MDS	Disease-Specific (Pancreatic Cancer, NPU, MDS)	1
DS-BE-EA	Disease-Specific (Barrett's Esophagus or EA)	1
DS-PRD-PUB-NPU-MDS	Disease-Specific (Prostate Disease, PUB, NPU, MDS)	1
OTHER-IRB-PUB-COL-NPU-MDS	Other	1
DS-OCD	Disease-Specific (Obsessive Compulsive Disorder)	1
DS-GICA-PUB-NPU-MDS	Disease-Specific (Gastric Cancer, PUB, NPU, MDS)	1
DS-OM-IRB-PUB-NPU-MDS-GSO	Disease-Specific (Otitis Media, IRB, PUB, NPU, MDS, GSO)	1
DS-OM-IRB-PUB-COL-NPU-MDS-GSO	Disease-Specific (Otitis Media, IRB, PUB, COL, NPU, MDS, GSO)	1
DS-CA-PUB-NPU-MDS-GSO	Disease-Specific (Cancer, PUB, NPU, MDS, GSO)	1
DS-UM-GSO	Disease-Specific (Uveal Melanoma, GSO)	1
DS-KD	Disease-Specific (Kidney Disease)	2
DS-LC-COL	Disease-Specific (Lung Cancer, COL)	1
DS-ALC-IRB-NPU	Disease-Specific (Alcoholism, IRB, NPU)	1
DS-CASH-IRB-PUB-MDS-GSO	Disease-Specific (cerebral aneurysm or subarachnoid hemorrhage, IRB, PUB, MDS, GSO)	1
DS-ASC-RD-MDS	Disease-Specific (Arteriosclerosis and Related Diseases, MDS)	1
DS-COPD-RD	Disease-Specific (Chronic Obstructive Pulmonary Disease, RD)	1
DS-CLA	Disease-Specific (Data use is restricted to researchers studying cardiovascular disease, lipoprotein metabolism disorders/atherosclerosis)	1
DS-COPD-MDS-RD	Disease-Specific (Chronic Obstructive Pulmonary Disease, MDS, RD)	1
DS-FDC	Disease-Specific (Familial Dilated Cardiomyopathy)	1
DS-MLHLTH-MDS	Disease-Specific (Mental Health, MDS)	3
DS-MDP-COL-GSO	Disease-Specific (Movement Disorders Phenotypes, COL, GSO)	1
DS-HM-MDS	Disease-Specific (Hematological Malignancies, MDS)	1
DS-PEDCR	Disease-Specific (Pediatric Cancer Research)	1
DS-ED-IRB-PUB	Disease-Specific (Eye Disease, IRB, PUB)	1
DS-SMA-MDS	Disease-Specific (Spinal Muscular Atrophy, MDS)	1
DS-MBND-MDS	Disease-Specific (Mental, Behavioral & Neurodevelopmental Disorders, MDS)	1
DS-NSD-MDS	Disease-Specific (Nervous System Diseases, MDS)	1
DS-NPD-MDS	Disease-Specific (Neuropsychiatric Disorders, MDS)	1
DS-LD-IRB	Disease-Specific (Lung Diseases, IRB)	1
DS-RVI	Disease-Specific (Respiratory Viral Infections)	1
DS-SZRD-MDS	Disease-Specific (Schizophrenia and related disorders, MDS)	1
DS-AASD	Disease-Specific (Autism or Autism Spectrum Disorder)	1
DS-MD	Disease-Specific (Mitochondrial Disease)	1
DS-KD-IRB	Disease-Specific (Kidney Disease, IRB)	1
DS-PC-IRB-MDS	Disease-Specific (Prostate Cancer, IRB, MDS)	1
DS-PC-PUB-NPU-MDS	Disease-Specific (Prostate Cancer, PUB, NPU, MDS)	1
DS-PC-IRB-PUB-MDS	Disease-Specific (Prostate Cancer, IRB, PUB, MDS)	1
DS-HIV-COL	Disease-Specific (Human Immunodeficiency Virus, COL)	1
DS-PDBD	Disease-Specific (Parkinson's Disease and other Brain Disorders)	1
DS-EP-PUB-NPU-GSO	Disease-Specific (Epilepsy, PUB, NPU, GSO)	1
DS-AVM-STK-VD	Disease-Specific (Arteriovenous Malformation, Stroke and related Vascular Diseases)	1
DS-OSP-IRB-COL-GSO-RD	Disease-Specific (Osteoporosis, IRB, COL, GSO, RD)	1
DS-PPD-IRB-PUB	Disease-Specific (Post-partum depression, IRB, PUB)	1
DS-SCOID	Disease-Specific (Scoliosis, idiopathic)	1
DS-ID-IRB	Disease-Specific (Intellectual Disability, IRB)	1
DS-IDSBD-IRB	Disease-Specific (Intellectual Disability and Structural Birth Defects, IRB)	1
DS-MBND-IRB-NPU-MDS	Disease-Specific (Mental, Behavioral & Neurodevelopmental Disorders, IRB, NPU, MDS)	1
O-PP	Other (Patenting of any result is prohibited)	1
DS-E-PA-AH-MDS	Disease-Specific (Relationship between environment, physiological activity & adolescent health, MDS)	1
DS-MLHLTH-IRB-NPU-MDS	Disease-Specific (Mental Health, IRB, NPU, MDS)	1
DS-PTSD	Disease-Specific (Post Traumatic Stress Disorder)	1
O-ADT	Other-Limited to Research in Adult Population	1
DS-MHCOGNEURO-NPU-MDS	Disease-Specific (Mental Health, Cognition, Neurology, NPU, MDS)	1
DS-HL-D	Disease-Specific (Hearing Loss or Deafness)	1
DS-BDM	Disease-Specific (Birth defects, major)	1
DS-AINFD-IRB-PUB-NPU-RD	Disease-Specific (Autoinflammatory Disease, IRB, PUB, NPU, RD)	1
DS-CRF	Disease-Specific (Cancer-related fatigue)	1
DS-STK-PUB-COL-NPU-MDS	Disease-Specific (Stroke, PUB, COL, NPU, MDS)	1
DS-CBD-IRB-PUB-NPU	Disease-Specific (Congenital Birth Defects, IRB, PUB, NPU)	1
DS-ARD	Disease-Specific (Asthma and/or other Respiratory Diseases)	1
DS-IBD-PUB-COL	Disease-Specific (Inflammatory Bowel Disease, PUB, COL)	1
DS-DRC-PUB-NPU-GSO-RD	Disease-Specific (Diabetes and Related Complications, PUB, NPU, GSO, RD)	1
DS-STK	Disease-Specific (Stroke)	1
DS-AIS	Disease-Specific (Acute Ischemic Stroke)	1
DS-HCTCT-GSO	Disease-Specific (Hematopoietic Cell Transplantation and Cell Therapy, GSO)	1
DS-CAD-NPU-GSO	Disease-Specific (Coronary Artery Disease, NPU, GSO)	1
EA-IRB-PUB-COL-NPU	Exchange Area (IRB, PUB, COL, NPU)	1
HMB-IRB-PUB-NPU-MDS	Health/Medical/Biomedical (IRB, PUB, NPU, MDS)	1
SUM-STAT-ONLY	National law prohibits individual level data from being deposited. Only Summary-level statistics can be provided.	1
DS-DOBC	Disease-Specific (Dental/Oral and Bone Conditions)	1
DS-HTD-IRB	Disease-Specific (Heart Disease, IRB)	1
DS-PEDD-IRB	Disease-Specific (Pediatric Disease, IRB)	1
HMB-PUB-COL-MDS	Health/Medical/Biomedical (PUB, COL, MDS)	1
GRU-PUB-COL	General Research Use (PUB, COL)	1
DS-OC-PUB	Disease-Specific (Oral Clefts, PUB)	1
DS-CFR-IRB-COL	Disease-Specific (Craniofacial Research, IRB, COL)	2
DS-CFED	Disease-Specific (Craniofacial and Eye Disorders)	2
HMB-IRB-PUB-NPU-MDS-GSO	Health/Medical/Biomedical (IRB, PUB, NPU, MDS, GSO)	2
DS-DIAB-NPU-MDS	Disease-Specific (Diabetes, NPU, MDS)	2
DS-CCSD-NPU-MDS	Disease-Specific (Circulatory and Cardiovascular System Diseases, NPU, MDS)	2
DS-CA-IRB-PUB-NPU	Disease-Specific (Cancer, IRB, PUB, NPU)	1
DS-RCCA-MDS	Disease-Specific (Renal Cell Carcinoma, MDS)	1
HMB-COL-MDS	Health/Medical/Biomedical (COL, MDS)	1
DS-MCC-IRB-MDS	Disease-Specific (Merkel cell carcinoma, IRB, MDS)	1
HMB-NPU-GSO	Health/Medical/Biomedical (NPU, GSO)	2
TG1	TestingG1	1
DS-CVDRF	Disease-Specific (Cardiovascular Disease and Risk Factors)	1
GRU-IRB-COL-NPU	General Research Use (IRB, COL, NPU)	1
DS-GRR-MDS	Disease-Specific (Gastroenterology related research, MDS)	1
BHD	Brain health and disease	1
DS-NPH-IRB-NPU-GSO	Disease-Specific (Normal Pressure Hydrocephalus, IRB, NPU, GSO)	1
DS-CHR	Disease-Specific (Chordoma)	1
DS-H	Disease-Specific (Hemophilia)	1
DS-SARC	Disease-Specific (Sarcoma)	1
DS-CTOGVHD-IRB-NPU	Disease-Specific (cancer, cell processing, transplantation outcomes and graft versus host disease, IRB, NPU)	1
DS-BD-GC	Disease-Specific (Birth Defects and Genetic Conditions)	1
DS-HBVD	Disease-Specific (Heart and Blood Vessel Disease)	1
DS-T-ORD-ODD-IRB	Disease-Specific (Tourette, Other Related Disorders, Other Developmental Disorders, IRB)	1
DS-IBD-IRB-NPU	Disease-Specific (Inflammatory Bowel Disease, IRB, NPU)	1
FEIBD	Familial and environmental influences on breast disease	1
DS-HNC-IRB-NPU	Disease-Specific (Head and Neck Cancer, IRB, NPU)	1
DS-HNC-NPU	Disease-Specific (Head and Neck Cancer, NPU)	1
DS-HNC	Disease-Specific (Head and Neck Cancer)	2
DS-PVD-IRB-COL-NPU	Disease-Specific (Pulmonary Vascular Disease, IRB, COL, NPU)	1
DS-LGL	Disease-Specific (LGL leukemia)	1
DS-RVI-PUB	Disease-Specific (Respiratory Viral Infections, PUB)	3
DS-HNSC-PUB	Disease-Specific (Head and neck squamous cell carcinoma, PUB)	3
DS-CCSD-MDS	Disease-Specific (Circulatory and Cardiovascular System Diseases, MDS)	3
DS-NPC1-IRB	Disease-Specific (Niemann-Pick disease type C1, IRB)	1
DS-RET-DIS-NPU	Disease-Specific (Retinal Diseases, NPU)	1
DS-RET-DIS-NPU-GSO	Disease-Specific (Retinal Diseases, NPU, GSO)	1
DS-PACA-PUB	Disease-Specific (Pancreatic Cancer, PUB)	1
GRU-PUB-COL-NPU	General Research Use (PUB, COL, NPU)	3
DS-BRCA-PUB-NPU	Disease-Specific (Breast Cancer, PUB, NPU)	1
DS-SCD-IRB-RD	Disease-Specific (Sickle Cell Disease, IRB, RD)	1
DS-AML-NPU-MDS	Disease-Specific (Acute Myelogenous Leukemia, NPU, MDS)	1
DS-DLBCL-IRB-NPU	Disease-Specific (Diffuse Large B-Cell Lymphoma, IRB, NPU)	1
DS-HCC-IRB-COL	Disease-Specific (Hepatocellular Carcinoma, IRB, COL)	2
DS-FSHD-IRB-NPU-MDS	Disease-Specific (Facioscapulohumeral Muscular Dystrophy, IRB, NPU, MDS)	1
DS-MUS-SKEL-IRB-NPU	Disease-Specific (Musculoskeletal Diseases, IRB, NPU)	1
DS-DIAB-NPU	Disease-Specific (Diabetes, NPU)	1
HMB-COL-NPU-GSO	Health/Medical/Biomedical (COL, NPU, GSO)	3
DS-PACA-PUB-NPU	Disease-Specific (Pancreatic Cancer, PUB, NPU)	1
DS-RET-DIS-PUB	Disease-Specific (Retinal Diseases, PUB)	1
DS-PC-IRB	Disease-Specific (Prostate Cancer, IRB)	1
DS-CVD-HIV-IRB	Disease-Specific (Cardiovascular Disease and/or Human Immunodeficiency Virus, IRB)	1
DS-MM-GSO	Disease-Specific (Multiple Myeloma, GSO)	1
DS-LYM-GSO	Disease-Specific (Lymphoma, GSO)	1
DS-MM	Disease-Specific (Multiple Myeloma)	2
DS-MM-IRB-PUB-GSO	Disease-Specific (Multiple Myeloma, IRB, PUB, GSO)	1
DS-LYMDIS-IRB-PUB-GSO	Disease-Specific (Lymphoproliferative Disorders, IRB, PUB, GSO)	1
DS-MM-PUB-GSO	Disease-Specific (Multiple Myeloma, PUB, GSO)	1
DS-ASD-NPU	Disease-Specific (Autism Spectrum Disorder, NPU)	1
DS-ASD-NPU-MDS	Disease-Specific (Autism Spectrum Disorder, NPU, MDS)	1
DS-ASD-MDS	Disease-Specific (Autism Spectrum Disorder, MDS)	1
DS-MHNR-NPU-MDS	Disease-Specific (Mental Health and Neurology Research, NPU, MDS)	1
DS-NDEVRD	Disease-Specific (Neurodevelopmental and related disorders)	1
DS-AUT-IRB-RD	Disease-Specific (Autism, IRB, RD)	1
DS-GICA-NPU	Disease-Specific (Gastric Cancer, NPU)	1
DS-GICA	Disease-Specific (Gastric Cancer)	1
DS-HME-RD	Disease-Specific (hemimegalencephaly, RD)	1
DS-BD-NPU	Disease-Specific (Blood Disorders, NPU)	2
DS-DC	Disease-Specific (Dilated Cardiomyopathy)	1
DS-BRCA-IRB	Disease-Specific (Breast Cancer, IRB)	1
MIC-HMB	Use of the data is limited to microbial sequences for health/medical/biomedical purposes	1
DS-HM	Disease-Specific (Hematological Malignancies)	1
DS-CSA	Disease-Specific (Craniosynostosis, all)	1
DS-COV	Disease-Specific (COVID-19)	1
DS-BHD	Disease-Specific (Brain Health and Disease)	1
DS-SJO-IRB	Disease-Specific (Sjogren's Syndrome, IRB)	1
DS-SJO-SLE-RA-RD-IRB	Disease-Specific (Sjogren's, LUPUS, RA AND RELATED DISEASES, IRB)	1
DS-SJO-PUB-GSO	Disease-Specific (Sjogren's Syndrome, PUB, GSO)	1
DS-S-CARD-IRB-PUB-COL	Disease-Specific (Sudden Cardiac Death, IRB, PUB, COL)	1
DS-CDKD	Disease-Specific (Cardiovascular Disease, Diabetes and Kidney Disease)	1
DS-ODON	Disease-Specific (Odontogenic Tumors)	1
DS-LC-IRB-PUB-NPU	Disease-Specific (Lung Cancer, IRB, PUB, NPU)	1
DS-SARC-PUB	Disease-Specific (Sarcoma, PUB)	2
DS-BBFOD-MDS	Disease-Specific (Blood and blood-forming organ disorders, MDS)	1
DS-NSCLC	Disease-Specific (non-small cell lung cancer)	1
DS-CA-PUB-NPU-MDS	Disease-Specific (Cancer, PUB, NPU, MDS)	1
DS-BOCC-IRB	Disease-Specific (Breast, Ovary, and/or Colon Cancer, IRB)	1
DS-PFIB-IRB-PUB-NPU	Disease-Specific (Pulmonary Fibrosis, IRB, PUB, NPU)	1
DS-HIT-PUB	Disease-Specific (Heparin-induced Thrombocytopenia, PUB)	1
